"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"ACKWATER","Bt1",13,23,NA,NA,NA,"lOYR","5","6"
"ACKWATER","Bt2",23,41,NA,NA,NA,"lOYR","5","8"
"ALDERFLATS","Btgl",13,30,NA,NA,NA,"5Y","5","2"
"ASHLAR","A",5,13,NA,NA,NA,"l0YR","3","2"
"ASHLAR","E",13,28,NA,NA,NA,"l0YR","5","2"
"ASHLAR","Bw",28,51,NA,NA,NA,"l0YR","5","4"
"ASHLAR","C",51,71,NA,NA,NA,"l0YR","5","3"
"BAILEGAP","0i",0,1,NA,NA,NA,NA,NA,NA
"BEECH GROVE","Oi",3,0,NA,NA,NA,NA,NA,NA
"BOURNE","0i",0,3,NA,NA,NA,NA,NA,NA
"BRENTSVILLE","C",66,86,NA,NA,NA,"lOR","3","3"
"BRENTSVILLE","Cr",86,97,NA,NA,NA,"lOR","3","3"
"BRENTSVILLE","R",97,107,NA,NA,NA,"lOR","3","3"
"BROCKROAD","01",0,5,NA,NA,NA,NA,NA,NA
"BUCKTON","Ap",0,18,NA,NA,NA,"l0YR","4","3"
"BUCKTON","Cl",18,46,NA,NA,NA,"l0YR","5","3"
"BUCKTON","C2",46,74,NA,NA,NA,"l0YR","4","3"
"BUCKTON","C3",74,122,NA,NA,NA,"l0YR","3","3"
"BUCKTON","2C",122,185,NA,NA,NA,"l0YR","4","3"
"BURROWSVILLE","A",0,8,NA,NA,NA,"lOYR","5","2"
"BURROWSVILLE","E",8,36,NA,NA,NA,"lOYR","6","4"
"BURROWSVILLE","Bt",36,64,NA,NA,NA,"lOYR","6","4"
"BURROWSVILLE","Btx",64,97,NA,NA,NA,"lOYR","5","6"
"CALVERTON","A",0,5,NA,NA,NA,"l0YR","4","2"
"CALVERTON","E",5,25,NA,NA,NA,"l0YR","7","4"
"CALVERTON","Bt",25,48,NA,NA,NA,"l0YR","6","6"
"CALVERTON","Bx",48,74,NA,NA,NA,"l0YR","6","6"
"CAROLINE","0i",0,5,NA,NA,NA,NA,NA,NA
"CATLETT","0i",0,3,NA,NA,NA,NA,NA,NA
"COLFAX","0i",3,3,NA,NA,NA,NA,NA,NA
"DRAYKE","Btl",20,36,NA,NA,NA,"10R","3","6"
"DRYPOND","Oi",10,0,NA,NA,NA,NA,NA,NA
"ELBERT","Btgl",30,56,NA,NA,NA,"5Y","4","1"
"FORK","0i",0,3,NA,NA,NA,NA,NA,NA
"FORK","0e",3,5,NA,NA,NA,"10YR","3","2"
"GOLDVEIN","0i",0,3,NA,NA,NA,NA,NA,NA
"GOLDVEIN","0e",3,5,NA,NA,NA,"10YR","3","1"
"LAROQUE","0i",0,3,NA,NA,NA,NA,NA,NA
"LEW","0i",0,5,NA,NA,NA,NA,NA,NA
"LODI","Btl",18,28,NA,NA,NA,"7.5YR","5","6"
"MANASSAS","Btl",41,61,NA,NA,NA,"5YR","3","4"
"MATTAPONI","0i",0,3,NA,NA,NA,NA,NA,NA
"MONTROSS","0i",0,5,NA,NA,NA,NA,NA,NA
"NEWBERN","Ap",0,13,NA,NA,NA,"1OYR","5","4"
"NEWBERN","Bw",13,33,NA,NA,NA,"1OYR","6","6"
"NEWBERN","Cr",33,46,NA,NA,NA,"1OYR","6","8"
"NEWFLAT","0i",0,3,NA,NA,NA,NA,NA,NA
"ORENDA","0i",0,3,NA,NA,NA,NA,NA,NA
"ORISKANY","Oi",3,0,NA,NA,NA,NA,NA,NA
"PAMUNKEY","2C",117,203,NA,NA,NA,"1OYR","5","6"
"PARTLOW","Btgl",38,53,NA,NA,NA,"10YR","5","1"
"POCATY","0i",0,30,NA,NA,NA,"10YR","2","2"
"POCATY","0e",30,51,NA,NA,NA,"10YR","2","2"
"POCATY","0a1",51,104,NA,NA,NA,"10YR","2","1"
"POCATY","0a2",104,122,NA,NA,NA,"10YR","2","1"
"POCATY","0a3",122,152,NA,NA,NA,"10YR","4","1"
"RAPPAHANNOCK","0a1",0,41,NA,NA,NA,"10YR","3","2"
"RAPPAHANNOCK","0a2",41,76,NA,NA,NA,"10YR","3","1"
"RAPPAHANNOCK","0a3",76,104,NA,NA,NA,"10YR","2","2"
"RAPPAHANNOCK","0'a",160,190,NA,NA,NA,"10YR","2","1"
"REMLIK","0i",0,5,NA,NA,NA,NA,NA,NA
"SEKIL","0i",0,3,NA,NA,NA,NA,NA,NA
"SEKIL","0e",3,5,NA,NA,NA,"10YR","2","1"
"SWIMLEY","Btl",23,36,NA,NA,NA,"5YR","4","4"
"THURMONT","0i",0,5,NA,NA,NA,NA,NA,NA
"THURMONT","0e",5,10,NA,NA,NA,NA,NA,NA
"TRENHOLM","Btl",30,51,NA,NA,NA,"10YR","5","6"
"TRENHOLM","Cl",91,114,NA,NA,NA,"10YR","5","8"
"TRENHOLM","A",NA,5,NA,NA,NA,"10YR","3","1"
"TUCKAHOE","Bwl",43,76,NA,NA,NA,"10YR","4","3"
"WURNO","Ap",0,20,NA,NA,NA,"1OYR","5","4"
"WURNO","Bw",20,36,NA,NA,NA,"1OYR","6","6"
"WURNO","C",36,53,NA,NA,NA,"1OYR","6","6"
