"soilseriesname","errorkind","context","mlraoffice"
"AGUILARES","DUPLICATION OF HEADERS","[SAR: 10 to 40]","temple, tx"
"ALIKCHI","SECTION HEADINGS",NA,"temple, tx"
"ARENISCO","DUPLICATION OF HEADERS","[SAR: 0.1 to 6.0,SAR: 0.1 to 9.0]","temple, tx"
"ATIRAS","DUPLICATION OF HEADERS","[SAR: 0 to 8]","temple, tx"
"BAUMAN","DUPLICATION OF HEADERS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE: Temple, Texas]","temple, tx"
"BECKMAN","DUPLICATION OF HEADERS","[SAR: 1 to 5,SAR: 3 to 20]","temple, tx"
"BORDAS","DUPLICATION OF HEADERS","[SAR: 0 to 4,SAR: 0 to 8]","temple, tx"
"CADELAKE","DUPLICATION OF HEADERS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE: Temple, Texas]","temple, tx"
"CHACON","DUPLICATION OF HEADERS","[SAR: 0 to 2]","temple, tx"
"CHILDRESS","DUPLICATION OF HEADERS","[SAR: 0 to 2]","temple, tx"
"CHINA","DUPLICATION OF HEADERS","[Sodium Adsorption Ratio: 0 to 12 (SAR values more than 4 are associated with areas subject to storm surge),Sodium Adsorption Ratio: 2 to 12 (SAR values more than 6 are associated with areas subject to storm surge)]","temple, tx"
"COLMENA","DUPLICATION OF HEADERS","[SAR: 0 to 4]","temple, tx"
"CRETA","DUPLICATION OF HEADERS","[SAR: 13-30]","temple, tx"
"DARROUZETT","DUPLICATION OF HEADERS","[Hue: 7.5 YR or 10YR]","temple, tx"
"DOOLIN","DUPLICATION OF HEADERS","[ESP: 15 to 20 percent,SAR: 1 to 20]","temple, tx"
"DOSRIOS","DUPLICATION OF HEADERS","[SAR: 14 to 25]","temple, tx"
"DUVERT","DUPLICATION OF HEADERS","[SAR: 15 to 40]","temple, tx"
"ESTELLA","DUPLICATION OF HEADERS","[SAR: 0 to 4]","temple, tx"
"ESTES","DUPLICATION OF HEADERS","[SAR: 1 to 5]","temple, tx"
"GARCENO","DUPLICATION OF HEADERS","[SAR: 5 to 30]","temple, tx"
"GARVEN","DUPLICATION OF HEADERS","[Datum: WGS84.]","temple, tx"
"GERTRUDIS","DUPLICATION OF HEADERS","[SAR: 0 to 2]","temple, tx"
"GOODCREEK","DUPLICATION OF HEADERS","[SAR: 2 to 6]","temple, tx"
"GRAVA","DUPLICATION OF HEADERS","[SAR: 0 to 1]","temple, tx"
"GREENHILL","DUPLICATION OF HEADERS","[SAR: 0 to 4]","temple, tx"
"GRETA","DUPLICATION OF HEADERS","[SAR: 6 to 20]","temple, tx"
"HARPER","DUPLICATION OF HEADERS","[Hue: 7.5 YR or 10YR]","temple, tx"
"HAYFORK","DUPLICATION OF HEADERS","[SAR: 2 to 6]","temple, tx"
"HINDMAN","DUPLICATION OF HEADERS","[Hue: 7.5 YR or 10YR]","temple, tx"
"LALINDA","DUPLICATION OF HEADERS","[SAR: 5 to 20]","temple, tx"
"LANEVILLE","DUPLICATION OF HEADERS","[SAR: 0 to 2,SAR: 0 to 4]","temple, tx"
"LAWTON","DUPLICATION OF HEADERS","[SAR: 0 to 6]","temple, tx"
"LOPENO","DUPLICATION OF HEADERS","[SAR: 0 to 4]","temple, tx"
"MALAQUITE","DUPLICATION OF HEADERS","[SAR: 25 to 70]","temple, tx"
"MATILO","DUPLICATION OF HEADERS","[MLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE: Temple, Texas]","temple, tx"
"MAVERICK","DUPLICATION OF HEADERS","[SAR: 13 to 20]","temple, tx"
"MCKNIGHT","DUPLICATION OF HEADERS","[SAR: 0 to 4]","temple, tx"
"MEDANITO","DUPLICATION OF HEADERS","[SAR: 9 to 20]","temple, tx"
"MONTEALTO","DUPLICATION OF HEADERS","[SAR: 0 to 8]","temple, tx"
"NOVILLO","DUPLICATION OF HEADERS","[SAR: 0 to 8,SAR: 2 to 10]","temple, tx"
"OLMEDO","DUPLICATION OF HEADERS","[SAR: 0 to 1]","temple, tx"
"OZARK","DUPLICATION OF HEADERS","[SAR: 0 to 12]","temple, tx"
"PADRE","DUPLICATION OF HEADERS","[SAR: 0 to 4]","temple, tx"
"PANAM","DUPLICATION OF HEADERS","[SAR: 0 to 8]","temple, tx"
"POTRERO","DUPLICATION OF HEADERS","[SAR: 0 to 4,SAR: 0 to 6]","temple, tx"
"PREMONT","DUPLICATION OF HEADERS","[SAR: 0 to 4,SAR: 0 to 6]","temple, tx"
"QUITERIA","DUPLICATION OF HEADERS","[SAR: 20 to 36]","temple, tx"
"RAMITA","DUPLICATION OF HEADERS","[SAR: 3 to 10]","temple, tx"
"RAYLAKE","DUPLICATION OF HEADERS","[SAR: 0 to 4]","temple, tx"
"REALITOS","DUPLICATION OF HEADERS","[SAR: 2 to 10]","temple, tx"
"RITOAZUL","DUPLICATION OF HEADERS","[SAR: 0 to 2]","temple, tx"
"ROCKPORT","DUPLICATION OF HEADERS","[SAR: 0 to 6]","temple, tx"
"SHIPS","DUPLICATION OF HEADERS","[Texture: SIC, C (may contain thin discontinuous strata of SICL, SIL, L),Texture: SICL, SIC, C]","temple, tx"
"THROCK","DUPLICATION OF HEADERS","[Hue:  7.5 YR to 2.5Y]","temple, tx"
"TOPO","DUPLICATION OF HEADERS","[SAR: 10 to 40]","temple, tx"
"TREADWAY","DUPLICATION OF HEADERS","[SAR: 0 to 8,SAR: 1 to 30]","temple, tx"
"VELENO","DUPLICATION OF HEADERS","[SAR: 25 to 50]","temple, tx"
"VINSON","DUPLICATION OF HEADERS","[SAR: 0 to 4]","temple, tx"
"YELLOWLAKE","DUPLICATION OF HEADERS","[SAR: 13 to 75]","temple, tx"
